Grid_ID,Grid_X,Grid_Y,Hawkes_Intensity,VICTIM COUNT,Accused Count,Unique_Crime_Types,Crime_Count,Risk_Label
100_7761,100,7761,0.0,0.0,1.0,1,1,0
1033_7799,1033,7799,0.0,0.0,3.0,1,1,0
1074_7911,1074,7911,0.0,0.0,0.0,1,1,0
1079_7878,1079,7878,0.0,0.0,0.0,1,1,0
1115_7907,1115,7907,0.0,0.0,1.0,1,1,0
11295_7753,11295,7753,0.0,0.0,0.0,1,1,0
11299_7760,11299,7760,0.0,0.0,2.0,1,1,0
1151_7735,1151,7735,0.0,0.0,1.0,1,1,0
1159_7734,1159,7734,0.0,0.0,0.0,1,1,0
1194_7866,1194,7866,61.53645762018107,0.0002074688796680498,0.783402489626556,1,4820,2
1200_7700,1200,7700,0.16374962359082346,0.0,2.8,6,10,0
1200_7725,1200,7725,0.03701764723208137,0.0,1.0,3,3,0
1200_7755,1200,7755,0.0,0.0,2.0,1,1,0
1201_7712,1201,7712,0.0,0.0,7.0,1,1,0
1201_7725,1201,7725,0.0,0.0,4.0,1,1,0
1201_7734,1201,7734,0.0,0.0,0.0,1,1,0
1201_7746,1201,7746,0.0,0.0,2.0,1,1,0
1201_7759,1201,7759,0.0,0.0,0.0,1,1,0
1202_7723,1202,7723,0.016686634980163,0.0,1.0,2,2,0
1202_7725,1202,7725,0.025705412604890374,0.0,0.5,3,4,0
1202_7734,1202,7734,6.0179458564766444e-34,0.0,0.0,2,2,0
1202_7751,1202,7751,0.0,0.0,0.0,1,1,0
1202_7772,1202,7772,0.0,0.0,1.0,1,1,0
1203_7702,1203,7702,0.0,0.0,0.0,1,1,0
1203_7756,1203,7756,0.0,0.0,2.0,1,1,0
1203_7762,1203,7762,0.0,0.0,0.0,1,1,0
1204_7761,1204,7761,0.0,0.0,0.0,1,1,0
1205_7703,1205,7703,0.0,0.0,1.0,1,1,0
1205_7725,1205,7725,0.3032653298563167,0.0,1.0,1,2,0
1206_7713,1206,7713,0.0,0.0,2.0,1,1,0
1206_7757,1206,7757,0.0,0.0,0.0,1,1,0
1208_7754,1208,7754,0.0,0.0,9.0,1,1,0
1208_7760,1208,7760,0.0,0.0,0.0,1,1,0
1209_6817,1209,6817,0.0,0.0,3.0,1,1,0
1209_7703,1209,7703,0.0,0.0,1.0,1,1,0
1209_7705,1209,7705,0.012505655033427565,0.0,2.0,3,3,0
1209_7706,1209,7706,0.0,0.0,1.0,1,1,0
1209_7736,1209,7736,0.0,0.0,0.0,1,1,0
1209_7750,1209,7750,0.0,0.0,3.0,1,1,0
1209_7753,1209,7753,0.0,0.0,5.0,1,1,0
1209_7754,1209,7754,0.22466448205861075,0.0,1.0,1,2,0
1209_7755,1209,7755,9.205289683375e-05,0.0,2.0,1,2,0
1209_7756,1209,7756,0.378205442367389,0.0,1.4878048780487805,22,41,1
1209_7760,1209,7760,9.861806742684125,0.0017331022530329288,0.1317157712305026,4,1154,2
1209_7771,1209,7771,0.0,0.0,1.0,1,1,0
1209_7799,1209,7799,0.2482926518957047,0.0,0.5,2,2,0
1210_7754,1210,7754,0.0,0.0,1.0,1,1,0
1211_7755,1211,7755,0.23547384221399445,0.0,1.0,3,5,0
1212_1325,1212,1325,0.0,0.0,1.0,1,1,0
1212_7512,1212,7512,0.0,0.0,12.0,1,1,0
1212_7712,1212,7712,0.009795915227141624,0.0,1.75,4,4,0
1212_7714,1212,7714,0.0,0.0,8.0,1,1,0
1212_7721,1212,7721,0.0,0.0,0.0,1,1,0
1212_7722,1212,7722,0.0,0.0,0.0,1,1,0
1212_7723,1212,7723,0.0,0.0,0.0,1,1,0
1212_7724,1212,7724,0.0,0.0,0.0,1,1,0
1212_7732,1212,7732,0.0,0.0,0.0,1,1,0
1212_7742,1212,7742,0.00749778841023885,0.0,0.0,1,2,0
1212_7744,1212,7744,0.0,0.0,1.0,1,1,0
1212_7745,1212,7745,5.899595941370378e-65,0.0,0.5,2,2,0
1212_7747,1212,7747,0.0,0.0,1.0,1,1,0
1212_7748,1212,7748,0.0,0.0,1.0,1,1,0
1212_7749,1212,7749,0.0,0.0,1.0,1,1,0
1212_7765,1212,7765,0.2744058180470132,0.0,1.5,2,2,0
1212_7777,1212,7777,0.0,0.0,0.0,1,1,0
1213_7712,1213,7712,0.08264944411079325,0.0,0.0,1,2,0
1213_7721,1213,7721,0.0,0.0,0.0,1,1,0
1214_7714,1214,7714,0.0,0.0,3.0,1,1,0
1214_7716,1214,7716,0.12262648039048075,0.0,0.6666666666666666,3,3,0
