Grid_ID,Latitude,Longitude
100_7761,1.0,77.61166781481481
1033_7799,10.3393,77.9917
1074_7911,10.74718,79.11788
1079_7878,10.79838,78.78007
1115_7907,11.1529,79.07131
11295_7753,112.954045,77.535531
11299_7760,112.999330957,77.608412629
1151_7735,11.51266616,77.35240252
1159_7734,11.591101,77.343901
1194_7866,11.948545833333334,78.66255666666667
1200_7700,12.000655,77.0003717
1200_7725,12.004684,77.25495233333334
1200_7755,12.0,77.55513
1201_7712,12.014658,77.12568
1201_7725,12.012568,77.256548
1201_7734,12.012568,77.341001
1201_7746,12.014545,77.460511
1201_7759,12.013621,77.594667
1202_7723,12.023384,77.23347100000001
1202_7725,12.025413475,77.25618725000001
1202_7734,12.02568795,77.343016
1202_7751,12.022189,77.510208
1202_7772,12.02245,77.72078
1203_7702,12.032105,77.021625
1203_7756,12.032906,77.569657
1203_7762,12.030722,77.627349
1204_7761,12.04033,77.61239
1205_7703,12.054324,77.032234
1205_7725,12.054879,77.25487799999999
1206_7713,12.063134,77.130641
1206_7757,12.06321,77.571687
1208_7754,12.088748,77.54916
1208_7760,12.088342,77.606616
1209_6817,12.096657,68.177512
1209_7703,12.096657,77.035501
1209_7705,12.093926333333334,77.05607966666666
1209_7706,12.097182,77.061013
1209_7736,12.090082,77.361989
1209_7750,12.090198,77.50738
1209_7753,12.090832,77.53762
1209_7754,12.0913575,77.54769999999999
1209_7755,12.090573,77.552825
1209_7756,12.09851126368007,77.56826748170839
1209_7760,12.098874234835355,77.60360948006932
1209_7771,12.0977174,77.719534
1209_7799,12.098505624333,77.9941147541762
1210_7754,12.10234,77.54287
1211_7755,12.11881327288304,77.55275289946196
1212_1325,12.123654,13.2565
1212_7512,12.123458,75.123456
1212_7712,12.1236775,77.1234555
1212_7714,12.12548,77.14868
1212_7721,12.124562,77.21452
1212_7722,12.123562,77.221562
1212_7723,12.121423,77.2324
1212_7724,12.123232,77.245
1212_7732,12.124523,77.3254
1212_7742,12.123873,77.4266265
1212_7744,12.12,77.444
1212_7745,12.1247015,77.455665
1212_7747,12.12569,77.47756
1212_7748,12.12569,77.488133
1212_7749,12.124546,77.495655
1212_7765,12.123456,77.654123
1212_7777,12.123456,77.777887
1213_7712,12.135456,77.123456
1213_7721,12.132453,77.21364
1214_7714,12.145812,77.14587
