Grid_ID,UnitName,Village_Area_Name
100_7761,Hulimavu Traffic PS,hulimavu
1033_7799,Basaveshwara Nagar PS,Kaveri Nagar
1074_7911,Jayanagar PS,Eighth Block Jayanagar
1079_7878,Byadarahalli PS,Tigalarapalya
1115_7907,Kempapura Agrahara PS,Magadi Road
11295_7753,Chandra Layout PS,INDIRA COLONY
11299_7760,J.C. Nagar PS,BENSON TOWN
1151_7735,Hulimavu PS,GOTTIGERE
1159_7734,High Grounds PS,RACE COURSE ROAD
1194_7866,Cyber Crime Police Station,Bengaluru city
1200_7700,Malleshwaram PS,Malleswaram
1200_7725,Malleshwaram PS,MALLESHWARA
1200_7755,Jagajeevanram Nagar PS,Narasimhaiah Compound
1201_7712,Subramanyapura PS,CHUNCHGHTTA
1201_7725,Malleshwaram PS,Malleswaram
1201_7734,Malleshwaram PS,Malleshwara
1201_7746,High Grounds PS,RACE COURSE ROAD
1201_7759,Hulimavu PS,T RAMAIAH GARDEN
1202_7723,Rajajinagar Traffic PS,RAJAJINAGARA
1202_7725,Malleshwaram PS,MALLESHWARA
1202_7734,Malleshwaram PS,MALLESHWARA
1202_7751,Malleshwaram PS,MALLESHWARA
1202_7772,Kalasipalya PS,HAMEEDKHAN GARDEN
1203_7702,Hulimavu PS,HULIMAVU GATE
1203_7756,Siddapura PS,T MARIYAPPA ROAD
1203_7762,Marathahalli PS,DEVARABISANA HALLI
1204_7761,Byatarayanapura  PS,Narasimhaiah Colony
1205_7703,Subramanyapura PS,CHUNCHGHTTA
1205_7725,Kamakshipalya Traffic PS,Nice Road
1206_7713,High Grounds PS,CHAKRAVARTHI LAYOUT
1206_7757,Kumaraswamy Layout PS,Isro Layout
1208_7754,Subramanyapura PS,SATYAMMANAKUTE
1208_7760,Madivala PS,OTHER
1209_6817,Cubbon Park PS,St. Marks Road
1209_7703,Cubbon Park PS,RHP ROAD
1209_7705,Subramanyapura PS,CHIKKALLASANDRA
1209_7706,Ashoknagar PS,Richmond town
1209_7736,Mico Layout PS,BTM SECOND STAGE
1209_7750,Mico Layout PS,BTM SECOND STAGE
1209_7753,Subramanyapura PS,BRANDAVAN LAYOUT
1209_7754,Subramanyapura PS,RAMACHANDRAPURA
1209_7755,Subramanyapura PS,BHCS LAYOUT
1209_7756,Basaveshwara Nagar PS,BEML LAYOUT
1209_7760,East CEN Crime PS,East Division PS Jurisdiction
1209_7771,K.R.Puram Traffic PS,BASAVA NAGARA
1209_7799,Basaveshwara Nagar PS,LIC COLONY
1210_7754,Rajarajeshwari Nagar PS,R.R.NAGARA
1211_7755,Basaveshwara Nagar PS,Manivilas Garden
1212_1325,Malleshwaram PS,Malleswaram
1212_7512,Mahadevapura PS,KUNDALAHALLI COLONY
1212_7712,Central CEN Crime PS,Central division Limit
1212_7714,Rajarajeshwari Nagar PS,R.R.NAGARA
1212_7721,Central CEN Crime PS,Central division Limit
1212_7722,South CEN Crime PS,SOUTH DVN
1212_7723,Central CEN Crime PS,Central division Limit
1212_7724,Central CEN Crime PS,Central division Limit
1212_7732,Central CEN Crime PS,Central division Limit
1212_7742,Central CEN Crime PS,Central division Limit
1212_7744,Rajajinagar Traffic PS,RAJAJINAGARA
1212_7745,Rajarajeshwari Nagar PS,R.R.NAGARA
1212_7747,Jnanabharathi PS,VINAYAKA LAYOUT
1212_7748,Jnanabharathi PS,MALAGALA VILLAGE
1212_7749,West CEN Crime PS,West Division PSs Jurisdiction
1212_7765,Mahadevapura PS,CHINNAPPANAHALLI
1212_7777,Thalaghattapura PS,Turahalli
1213_7712,Madivala PS,OTHER
1213_7721,Central CEN Crime PS,Central division Limit
1214_7714,Rajarajeshwari Nagar PS,GAS
1214_7716,Hulimavu PS,HULIMAVU GATE
1214_7735,Rajarajeshwari Nagar PS,R.R.NAGARA
1214_7745,Hulimavu PS,HULIMAVU GATE
1214_7748,Annapoorneshwari Nagar PS,FOURTH BLOCK NAGARABHAVI BEHIND SBI BANK
1214_7754,Hulimavu PS,HULIMAVU GATE
1215_7664,Chandra Layout PS,BYRAWESHWARA NAGARA
1215_7710,Kalasipalya PS,KALASIPALYA BUS STAND
