Grid_ID,UnitName,Year,Week,Week1,Week2,Week3,Week4,Target
1194_7866,Cyber Crime Police Station,2017,16,1,6,4,4,2
1194_7866,Cyber Crime Police Station,2017,17,6,4,4,7,2
1194_7866,Cyber Crime Police Station,2017,18,4,4,7,8,1
1194_7866,Cyber Crime Police Station,2017,19,4,7,8,3,2
1194_7866,Cyber Crime Police Station,2017,20,7,8,3,9,2
1194_7866,Cyber Crime Police Station,2017,22,8,3,9,6,1
1194_7866,Cyber Crime Police Station,2017,23,3,9,6,2,1
1194_7866,Cyber Crime Police Station,2017,24,9,6,2,3,0
1194_7866,Cyber Crime Police Station,2017,25,6,2,3,1,2
1194_7866,Cyber Crime Police Station,2017,26,2,3,1,5,2
1194_7866,Cyber Crime Police Station,2017,27,3,1,5,11,2
1194_7866,Cyber Crime Police Station,2017,28,1,5,11,19,2
1194_7866,Cyber Crime Police Station,2017,29,5,11,19,30,2
1194_7866,Cyber Crime Police Station,2017,30,11,19,30,27,2
1194_7866,Cyber Crime Police Station,2017,31,19,30,27,14,2
1194_7866,Cyber Crime Police Station,2017,32,30,27,14,26,2
1194_7866,Cyber Crime Police Station,2017,33,27,14,26,29,2
1194_7866,Cyber Crime Police Station,2017,34,14,26,29,30,2
1194_7866,Cyber Crime Police Station,2017,35,26,29,30,15,2
1194_7866,Cyber Crime Police Station,2017,36,29,30,15,21,2
1194_7866,Cyber Crime Police Station,2017,37,30,15,21,19,2
1194_7866,Cyber Crime Police Station,2017,38,15,21,19,35,2
1194_7866,Cyber Crime Police Station,2017,39,21,19,35,21,2
1194_7866,Cyber Crime Police Station,2017,40,19,35,21,15,2
1194_7866,Cyber Crime Police Station,2017,41,35,21,15,14,2
1194_7866,Cyber Crime Police Station,2017,42,21,15,14,23,2
1194_7866,Cyber Crime Police Station,2017,43,15,14,23,19,2
1194_7866,Cyber Crime Police Station,2017,44,14,23,19,12,2
1194_7866,Cyber Crime Police Station,2017,45,23,19,12,14,2
1194_7866,Cyber Crime Police Station,2017,46,19,12,14,31,2
1194_7866,Cyber Crime Police Station,2017,47,12,14,31,31,2
1194_7866,Cyber Crime Police Station,2017,48,14,31,31,31,2
