Grid_ID,Latitude,Longitude
1263_7649,12.9188,77.5558
1280_7488,12.9398,77.5078
1294_7759,12.94590784,77.59722428
1294_7760,12.94390758,77.60453302
1294_7761,12.94614187,77.61659625
1295_7762,12.9372,77.6212
1299_7744,12.99282686,77.44723086
1389_7676,12.9372,77.6212
7736_1256,12.9442,77.6106
7760_1293,12.9442,77.6106
7760_1294,12.9417,77.6023
7760_7760,12.9226,77.4976
1245_7623,12.9352,77.6245
1255_7738,12.9352,77.6245
1256_7736,12.9352,77.6245
1256_7737,12.9352,77.6245
1295_7760,12.95363068,77.60470645
12_77,0.12926028,0.775153385
12_7737,0.1255262,77.37263
1256_7738,13.0478,77.5068
1256_7740,12.9488,77.6068
1257_739,12.9588,77.6718
1257_7738,12.9608,77.6488
1258_7653,12.9608,77.6488
1258_7745,12.9716,77.5946
1287_7739,12.9548,77.6568
1255_7740,12.9308,77.6768
1255_7741,12.9308,77.6768
1256_7739,13.1986,77.7066
1256_7741,12.9448,77.6848
1256_7742,12.9448,77.6848
1257_7739,13.1986,77.7066
1257_7740,12.9718,77.6468
1257_7741,12.9718,77.6468
1257_7742,12.9448,77.6848
1258_7740,12.9488,77.7168
1271_7751,13.1986,77.7066
1293_7769,12.936097,77.69577011
1294_7769,12.94696358,77.69544825
1295_7769,12.95560349,77.69678993
1295_7770,12.95631156,77.70412086
1296_7770,12.96356958,77.70365842
1302_7710,13.0224895,77.102662
1303_7723,13.03478,77.235214
1303_7736,13.03292,77.36382
1305_7760,13.05523747,77.60469655
1305_7776,13.050667,77.765214
1306_7698,13.0644,76.98830581
1306_7760,13.0655876,77.6025227
1307_7701,13.072784,77.010123
1307_7760,13.07395,77.60388983
1308_7760,13.083301,77.60374425
1320_7723,13.202365,77.236523
1324_7725,13.245142,77.254126
1325_7712,13.256325,77.125426
1325_7723,13.25292745,77.23587691
1345_7702,13.0408,77.6103
1361_7698,13.0415,77.6248
1214_7748,12.9691,77.5143
1247_7747,12.8868,77.5758
1247_7748,12.9749,77.4938
1247_7752,12.9691,77.5143
1278_7756,12.9749,77.4938
1279_7748,12.9777,77.4988
1279_7770,12.9749,77.4848
1296_1296,12.9777,77.4988
1296_7749,12.9749,77.4938
1296_7750,12.9667,77.5101
1297_7734,12.9734,77.5002
1297_7748,12.9777,77.4988
1297_7749,12.9749,77.4938
1297_7750,12.9818,77.5052
1297_7751,12.9667,77.5101
1298_7749,12.9818,77.5052
1298_7750,12.9818,77.5052
1300_7727,12.9777,77.4988
1305_7744,12.9777,77.4988
1312_7734,12.9734,77.5002
1312_7751,12.9691,77.5143
1209_7706,12.9665,77.6066
1602_9702,12.9721,77.6066
5107_3944,12.9721,77.6066
7736_1257,12.9579,77.5926
7736_1258,12.9721,77.6066
7737_1257,12.9816,77.6058
7759_1295,12.9579,77.5926
7760_1289,12.9816,77.6058
7760_1295,12.9816,77.6058
7760_1296,12.9756,77.6068
7761_1295,12.9816,77.6058
7761_1296,12.9721,77.6066
7761_1297,12.9721,77.6066
7763_1292,12.9467,77.6075
7764_1296,12.9816,77.6058
7790_1295,12.9824,77.6036
7797_1261,12.9467,77.6075
1255_7760,12.9468,77.6078
1255_7762,12.9678,77.6006
1293_7760,12.93316905,77.60800881
1296_7759,12.96421932,77.594368
1296_7760,12.96591167,77.60477884
1302_6654,13.0441,77.5065
1302_7703,13.0475,77.5042
1302_7721,13.022701,77.215648
1304_1752,13.0441,77.5065
1305_6523,13.0441,77.5065
1305_6875,13.0527,77.4955
1306_7723,13.0475,77.5042
1311_7721,13.0475,77.5042
1312_7723,13.123654,77.23232
1318_7789,13.0498,77.4912
1321_7756,13.0475,77.5042
1324_7712,13.0498,77.4912
1333_7730,13.0498,77.4912
1345_7744,13.0498,77.4912
1345_7746,13.0325,77.5255
1365_7712,13.0441,77.5065
1487_7451,13.0498,77.4912
675_6875,13.0475,77.5042
7750_1306,13.0527,77.4955
1308_7740,13.08018,77.40149
1309_7764,13.0953465,77.643431
1309_7765,13.09251588,77.65358065
1309_7766,13.09797347,77.66312947
1309_7771,13.0953585,77.7154445
1310_7763,13.10449285,77.63401528
1310_7764,13.101,77.64354867
1310_7765,13.10676375,77.65285538
1310_7771,13.10918133,77.715868
1311_7761,13.1175759,77.6138299
1311_7763,13.11683289,77.63426352
1311_7764,13.11161433,77.64893167
