Grid_ID,Date,Crime_Count
100_7761,2017-09-14,1
1033_7799,2023-08-31,1
1074_7911,2020-02-02,1
1079_7878,2020-02-05,1
1115_7907,2023-01-19,1
11295_7753,2018-12-13,1
11299_7760,2016-12-21,1
1151_7735,2016-08-17,1
1159_7734,2023-10-25,1
1194_7866,2017-03-22,1
1194_7866,2017-03-27,2
1194_7866,2017-03-30,1
1194_7866,2017-03-31,1
1194_7866,2017-04-01,1
1194_7866,2017-04-02,1
1194_7866,2017-04-04,1
1194_7866,2017-04-06,1
1194_7866,2017-04-08,1
1194_7866,2017-04-09,1
1194_7866,2017-04-11,3
1194_7866,2017-04-15,1
1194_7866,2017-04-17,3
1194_7866,2017-04-18,2
1194_7866,2017-04-19,1
1194_7866,2017-04-21,1
1194_7866,2017-04-24,1
1194_7866,2017-04-25,4
1194_7866,2017-04-26,1
1194_7866,2017-04-27,1
1194_7866,2017-04-29,1
1194_7866,2017-05-02,3
1194_7866,2017-05-08,2
1194_7866,2017-05-10,1
1194_7866,2017-05-11,3
1194_7866,2017-05-12,1
1194_7866,2017-05-13,2
1194_7866,2017-05-15,3
1194_7866,2017-05-16,1
1194_7866,2017-05-17,1
1194_7866,2017-05-19,1
1194_7866,2017-06-01,2
1194_7866,2017-06-05,1
1194_7866,2017-06-09,2
1194_7866,2017-06-17,1
1194_7866,2017-06-19,1
1194_7866,2017-06-22,1
1194_7866,2017-06-23,2
1194_7866,2017-06-24,1
1194_7866,2017-06-27,1
1194_7866,2017-06-28,1
1194_7866,2017-06-29,1
1194_7866,2017-06-30,3
1194_7866,2017-07-01,2
1194_7866,2017-07-02,3
1194_7866,2017-07-03,3
1194_7866,2017-07-04,1
1194_7866,2017-07-05,2
1194_7866,2017-07-06,3
1194_7866,2017-07-07,7
1194_7866,2017-07-08,3
1194_7866,2017-07-10,6
1194_7866,2017-07-11,2
1194_7866,2017-07-12,5
1194_7866,2017-07-13,5
1194_7866,2017-07-14,2
1194_7866,2017-07-15,3
1194_7866,2017-07-16,7
1194_7866,2017-07-18,2
1194_7866,2017-07-19,8
1194_7866,2017-07-20,2
1194_7866,2017-07-21,6
1194_7866,2017-07-22,9
1194_7866,2017-07-25,1
1194_7866,2017-07-26,1
1194_7866,2017-07-27,2
1194_7866,2017-07-28,4
1194_7866,2017-07-29,3
1194_7866,2017-07-30,3
1194_7866,2017-07-31,3
1194_7866,2017-08-01,3
1194_7866,2017-08-02,4
1194_7866,2017-08-03,11
1194_7866,2017-08-04,3
1194_7866,2017-08-05,2
1194_7866,2017-08-07,4
1194_7866,2017-08-08,7
1194_7866,2017-08-09,6
1194_7866,2017-08-10,4
1194_7866,2017-08-11,4
1194_7866,2017-08-12,4
1194_7866,2017-08-14,5
1194_7866,2017-08-15,6
1194_7866,2017-08-16,3
1194_7866,2017-08-17,4
1194_7866,2017-08-18,8
1194_7866,2017-08-19,4
1194_7866,2017-08-21,3
1194_7866,2017-08-22,3
1194_7866,2017-08-26,4
1194_7866,2017-08-27,5
1194_7866,2017-08-28,1
1194_7866,2017-08-29,6
1194_7866,2017-08-30,7
1194_7866,2017-08-31,1
1194_7866,2017-09-01,4
1194_7866,2017-09-02,2
1194_7866,2017-09-04,3
1194_7866,2017-09-05,3
1194_7866,2017-09-06,3
1194_7866,2017-09-07,5
1194_7866,2017-09-08,3
1194_7866,2017-09-09,2
1194_7866,2017-09-11,5
1194_7866,2017-09-12,3
1194_7866,2017-09-13,8
1194_7866,2017-09-14,6
1194_7866,2017-09-15,7
1194_7866,2017-09-16,6
1194_7866,2017-09-18,5
1194_7866,2017-09-19,4
1194_7866,2017-09-21,2
1194_7866,2017-09-22,6
1194_7866,2017-09-23,3
1194_7866,2017-09-24,1
1194_7866,2017-09-25,3
1194_7866,2017-09-26,3
1194_7866,2017-09-27,2
1194_7866,2017-09-28,7
1194_7866,2017-10-02,1
1194_7866,2017-10-03,2
1194_7866,2017-10-04,4
1194_7866,2017-10-05,1
1194_7866,2017-10-06,3
1194_7866,2017-10-07,3
1194_7866,2017-10-09,4
1194_7866,2017-10-10,3
1194_7866,2017-10-11,6
1194_7866,2017-10-12,8
1194_7866,2017-10-13,1
1194_7866,2017-10-15,1
1194_7866,2017-10-17,5
1194_7866,2017-10-18,5
1194_7866,2017-10-19,5
1194_7866,2017-10-20,1
1194_7866,2017-10-21,3
1194_7866,2017-10-23,2
1194_7866,2017-10-24,2
1194_7866,2017-10-25,4
1194_7866,2017-10-26,3
1194_7866,2017-10-27,1
1194_7866,2017-10-30,3
1194_7866,2017-10-31,3
1194_7866,2017-11-01,2
1194_7866,2017-11-02,4
1194_7866,2017-11-04,2
1194_7866,2017-11-06,4
1194_7866,2017-11-07,3
1194_7866,2017-11-08,2
1194_7866,2017-11-09,7
1194_7866,2017-11-10,5
1194_7866,2017-11-11,5
1194_7866,2017-11-12,5
1194_7866,2017-11-13,9
1194_7866,2017-11-14,5
1194_7866,2017-11-15,5
1194_7866,2017-11-16,4
1194_7866,2017-11-17,4
1194_7866,2017-11-18,4
1194_7866,2017-11-20,7
1194_7866,2017-11-21,4
1194_7866,2017-11-22,8
1194_7866,2017-11-23,5
1194_7866,2017-11-24,2
1194_7866,2017-11-25,4
1194_7866,2017-11-26,1
1194_7866,2017-11-27,5
1194_7866,2017-11-28,1
1194_7866,2017-11-29,4
1194_7866,2017-11-30,5
1194_7866,2017-12-01,8
1194_7866,2017-12-02,4
1194_7866,2017-12-04,2
1194_7866,2017-12-05,1
1194_7866,2017-12-06,2
1194_7866,2017-12-07,4
1194_7866,2017-12-08,3
1194_7866,2017-12-09,7
1194_7866,2017-12-11,3
1194_7866,2017-12-12,2
1194_7866,2017-12-13,6
1194_7866,2017-12-14,2
1194_7866,2017-12-15,5
1194_7866,2017-12-16,3
1194_7866,2017-12-18,3
1194_7866,2017-12-19,1
1194_7866,2017-12-20,1
1194_7866,2017-12-21,3
1194_7866,2017-12-22,3
1194_7866,2017-12-23,6
1194_7866,2017-12-25,6
1194_7866,2017-12-27,3
1194_7866,2017-12-28,2
1194_7866,2017-12-29,2
1194_7866,2017-12-30,2
1194_7866,2017-12-31,1
1194_7866,2018-01-01,1
1194_7866,2018-01-02,3
1194_7866,2018-01-03,3
1194_7866,2018-01-04,2
1194_7866,2018-01-05,3
1194_7866,2018-01-07,1
1194_7866,2018-01-08,3
1194_7866,2018-01-09,5
1194_7866,2018-01-10,3
1194_7866,2018-01-11,1
1194_7866,2018-01-12,3
1194_7866,2018-01-13,10
1194_7866,2018-01-14,3
1194_7866,2018-01-16,2
1194_7866,2018-01-17,4
1194_7866,2018-01-18,3
1194_7866,2018-01-19,3
1194_7866,2018-01-20,3
1194_7866,2018-01-22,1
1194_7866,2018-01-23,1
1194_7866,2018-01-24,1
1194_7866,2018-01-26,2
1194_7866,2018-01-27,1
1194_7866,2018-01-29,1
1194_7866,2018-01-30,1
1194_7866,2018-01-31,4
1194_7866,2018-02-01,4
1194_7866,2018-02-02,5
1194_7866,2018-02-03,1
1194_7866,2018-02-05,1
1194_7866,2018-02-06,3
1194_7866,2018-02-07,2
1194_7866,2018-02-08,3
1194_7866,2018-02-09,5
1194_7866,2018-02-10,4
1194_7866,2018-02-12,6
1194_7866,2018-02-13,6
1194_7866,2018-02-14,1
1194_7866,2018-02-15,3
1194_7866,2018-02-16,3
1194_7866,2018-02-17,7
1194_7866,2018-02-18,1
1194_7866,2018-02-19,3
1194_7866,2018-02-20,6
1194_7866,2018-02-21,3
1194_7866,2018-02-22,2
1194_7866,2018-02-23,6
1194_7866,2018-02-24,6
1194_7866,2018-02-26,3
1194_7866,2018-02-27,1
1194_7866,2018-02-28,3
1194_7866,2018-03-01,1
1194_7866,2018-03-02,4
