UnitName,Total_Records,Valid_Latitude,Valid_Longitude
Adugodi PS,761,543,543
Adugodi Traffic PS,433,57,57
Airport PS,93,81,81
Airport Traffic PS,463,78,78
Amruthahally PS,748,122,121
Annapoorneshwari Nagar PS,922,400,398
Ashoknagar PS,1266,1122,1122
Ashoknagar Traffic PS,450,34,34
BIAL PS,313,80,80
Bagalagunte PS,1224,106,106
Bagalur PS,689,228,228
Banasawadi Traffic PS,584,45,45
Banashankari PS,920,215,215
Banashankari Traffic PS,698,211,211
Banaswadi PS,2002,236,236
Bandepalya PS,623,180,180
Basavanagudi PS,719,584,584
Basavanagudi Traffic PS,626,166,166
Basavanagudi Women PS,500,38,38
Basaveshwara Nagar PS,1024,847,847
Beguru PS,719,123,123
Bellanduru PS,994,392,392
Bellanduru Traffic PS,61,20,20
Bharathi Nagar PS,574,94,94
Bommanahalli PS,1117,105,105
Bowring Hospital PS,1,0,0
Byadarahalli PS,1790,139,139
Byappanahalli PS,709,596,596
Byatarayanapura  PS,1263,1188,1187
Byatrarayanapura Traffic PS,993,191,191
Central CEN Crime PS,1078,97,97
Chamarajpet PS,644,257,258
Chandra Layout PS,1247,1050,1050
Channammanakere Achu Kattu PS,956,275,275
Chickpet PS,34,17,17
Chickpet Traffic PS,503,76,76
Chikkajala PS,468,202,202
Chikkajala Traffic PS,849,41,41
City Market PS,683,627,627
City Market Traffic PS,728,102,102
Commercial Street PS,509,283,283
Cottonpet PS,818,238,236
Cubbon Park PS,598,387,387
Cubbonpark Traffic PS,380,22,22
Cyber Crime Police Station,6109,12,12
Devanahalli PS,434,67,67
Devanahalli Traffic PS,993,455,455
Devarajeevanahalli PS,1118,721,721
East CEN Crime PS,1187,57,57
East Zone Women PS,423,56,56
Electronic City PS,1067,225,225
Electronic City Traffic PS,622,452,452
Gangammana Gudi PS,402,320,320
Girinagar PS,965,453,453
Govindapura PS,284,62,62
Govindaraja Nagar PS,265,246,246
H.A.L. PS,1569,404,405
HSR Lay Out Traffic PS,355,182,182
HSR Layout PS,1312,98,98
Halasur Gate Traffic PS,353,104,103
Halasur PS,1072,381,381
Halasur Traffic PS,332,216,216
Halasurgate PS,817,366,366
Hanumanthanagar PS,948,239,239
Hebbal PS,698,300,300
Hebbal Traffic PS,878,41,41
Hennur PS,1134,230,230
Hennur Traffic PS,73,21,21
High Grounds PS,524,444,444
High Grounds Traffic PS,391,40,40
Hulimavu PS,1100,477,477
Hulimavu Traffic PS,409,28,27
Indiranagar PS,895,59,59
J.C. Nagar PS,524,168,168
Jagajeevanram Nagar PS,741,312,312
Jalahalli PS,381,333,333
Jalahalli Traffic PS,469,250,250
Jayanagar PS,973,612,612
Jayanagar Traffic PS,720,38,38
Jayaprakash Nagar PS,992,66,66
Jeevan Bheemanagar PS,1168,390,390
Jeevan Bhima Nagar (Indiranagar) Traffic  PS,471,31,31
Jnanabharathi PS,978,290,289
K G Halli Traffic PS,196,64,64
K.R. Puram PS,1898,1272,1270
K.R.Puram Traffic PS,948,216,216
Kadugodi PS,1034,258,258
Kadugondana Halli PS,1581,59,59
Kalasipalya PS,696,619,619
Kamakshipalya PS,1486,487,487
Kamakshipalya Traffic PS,994,74,73
Kempapura Agrahara PS,646,594,594
Kempegowda Nagar PS,469,171,171
Kengeri PS,1268,689,689
Kengeri Traffic PS,531,94,94
Kodigehalli PS,780,79,79
Konanakunte PS,1042,513,513
Koramangala PS,1200,196,196
Kothanur PS,659,153,153
Kumaraswamy Layout PS,1188,283,283
Kumaraswamy Layout Traffic PS,1006,401,401
Madivala PS,1447,171,171
Madivala Traffic PS,424,101,101
Magadi Road PS,807,102,102
Magadi Road Traffic PS,341,262,262
Mahadevapura PS,1657,241,241
Mahadevapura Traffic PS,87,18,18
Mahalakshmipuram PS,918,258,258
Malleshwaram PS,588,262,260
Malleshwaram Traffic PS,820,45,45
Marathahalli PS,1251,236,236
Mico Layout PS,1398,595,595
Mico Layout Traffic PS,390,55,55
Nandini Layout PS,1225,1128,1128
North CEN Crime PS,2240,193,193
NorthEast CEN Crime PS,1688,179,179
Parappana Agrahara PS,1381,221,221
Peenya PS,1730,878,878
Peenya Traffic PS,1074,733,733
Pulakeshinagar  PS,1005,62,62
Pulakeshinagar Traffic PS,353,56,56
Puttenahalli PS,860,50,50
R.M.C. Yard PS,713,194,194
R.T. Nagar PS,1040,516,515
R.T.Nagar Traffic PS,715,571,571
Rajagopal Nagar PS,1933,541,542
Rajajinagar PS,570,376,375
Rajajinagar Traffic PS,853,567,567
Rajarajeshwari Nagar PS,945,290,290
Ramamurthy Nagar PS,1765,134,134
S.J. Park PS,382,135,135
Sadashivanagar PS,573,286,286
Sadashivanagar Traffic PS,464,259,259
Sampangiramanagar PS,443,180,180
Sampigehalli PS,842,395,395
Sanjay Nagar PS,802,719,719
Seshadripuram PS,389,216,216
Shankarpura PS,142,114,114
Shivajinagar PS,447,38,38
Shivajinagar Traffic PS,369,132,132
Siddapura PS,724,70,70
Soladevanahalli PS,985,391,393
South CEN Crime PS,1946,215,215
SouthEast CEN Crime PS,1742,153,153
Srirampura PS,496,108,108
Subramanyanagar PS,730,392,392
Subramanyapura PS,1298,1156,1157
Suddaguntepalya PS,854,314,314
Thalaghattapura PS,1016,81,81
Thalaghattapura Traffic PS,116,81,81
Thilaknagar PS,882,77,77
Thyagarajanagar PS,59,0,0
Upparpet PS,737,190,190
Upparpet Traffic PS,564,247,247
V V Puram Traffic PS,605,326,326
Varthur PS,979,725,725
Victoria Hospital PS,11,11,11
Vidhana Soudha PS,229,94,94
Vidyaranyapura PS,929,428,428
Vijayanagar PS,1289,267,267
Vijayanagar Traffic PS,674,456,456
Vishveshwarapuram PS,474,352,352
Viveknagar PS,725,492,492
Vyalikaval PS,469,440,440
West CEN Crime PS,1777,55,55
Whitefield CEN Crime PS,1608,73,73
Whitefield PS,1357,317,318
Whitefield Traffic PS,795,95,95
Wilsongarden PS,616,214,214
Wilsongarden Traffic PS,563,39,39
Yelahanka New Town PS,964,218,218
Yelahanka PS,969,112,112
Yelahanka Traffic PS,1188,120,120
Yeshwanthapura PS,1199,919,919
Yeshwanthapura Traffic PS,818,762,762
