UnitName,Number_of_FIRs
Adugodi PS,761
Adugodi Traffic PS,433
Airport PS,93
Airport Traffic PS,463
Amruthahally PS,748
Annapoorneshwari Nagar PS,922
Ashoknagar PS,1266
Ashoknagar Traffic PS,450
BIAL PS,313
Bagalagunte PS,1224
Bagalur PS,689
Banasawadi Traffic PS,584
Banashankari PS,920
Banashankari Traffic PS,698
Banaswadi PS,2002
Bandepalya PS,623
Basavanagudi PS,719
Basavanagudi Traffic PS,626
Basavanagudi Women PS,500
Basaveshwara Nagar PS,1024
Beguru PS,719
Bellanduru PS,994
Bellanduru Traffic PS,61
Bharathi Nagar PS,574
Bommanahalli PS,1117
Bowring Hospital PS,1
Byadarahalli PS,1790
Byappanahalli PS,709
Byatarayanapura  PS,1263
Byatrarayanapura Traffic PS,993
Central CEN Crime PS,1078
Chamarajpet PS,644
Chandra Layout PS,1247
Channammanakere Achu Kattu PS,956
Chickpet PS,34
Chickpet Traffic PS,503
Chikkajala PS,468
Chikkajala Traffic PS,849
City Market PS,683
City Market Traffic PS,728
Commercial Street PS,509
Cottonpet PS,818
Cubbon Park PS,598
Cubbonpark Traffic PS,380
Cyber Crime Police Station,6109
Devanahalli PS,434
Devanahalli Traffic PS,993
Devarajeevanahalli PS,1118
East CEN Crime PS,1187
East Zone Women PS,423
Electronic City PS,1067
Electronic City Traffic PS,622
Gangammana Gudi PS,402
Girinagar PS,965
Govindapura PS,284
Govindaraja Nagar PS,265
H.A.L. PS,1569
HSR Lay Out Traffic PS,355
HSR Layout PS,1312
Halasur Gate Traffic PS,353
Halasur PS,1072
Halasur Traffic PS,332
Halasurgate PS,817
Hanumanthanagar PS,948
Hebbal PS,698
Hebbal Traffic PS,878
Hennur PS,1134
Hennur Traffic PS,73
High Grounds PS,524
High Grounds Traffic PS,391
Hulimavu PS,1100
Hulimavu Traffic PS,409
Indiranagar PS,895
J.C. Nagar PS,524
Jagajeevanram Nagar PS,741
Jalahalli PS,381
Jalahalli Traffic PS,469
Jayanagar PS,973
Jayanagar Traffic PS,720
Jayaprakash Nagar PS,992
Jeevan Bheemanagar PS,1168
Jeevan Bhima Nagar (Indiranagar) Traffic  PS,471
Jnanabharathi PS,978
K G Halli Traffic PS,196
K.R. Puram PS,1898
K.R.Puram Traffic PS,948
Kadugodi PS,1034
Kadugondana Halli PS,1581
Kalasipalya PS,696
Kamakshipalya PS,1486
Kamakshipalya Traffic PS,994
Kempapura Agrahara PS,646
Kempegowda Nagar PS,469
Kengeri PS,1268
Kengeri Traffic PS,531
Kodigehalli PS,780
Konanakunte PS,1042
Koramangala PS,1200
Kothanur PS,659
Kumaraswamy Layout PS,1188
Kumaraswamy Layout Traffic PS,1006
Madivala PS,1447
Madivala Traffic PS,424
Magadi Road PS,807
Magadi Road Traffic PS,341
Mahadevapura PS,1657
Mahadevapura Traffic PS,87
Mahalakshmipuram PS,918
Malleshwaram PS,588
Malleshwaram Traffic PS,820
Marathahalli PS,1251
Mico Layout PS,1398
Mico Layout Traffic PS,390
Nandini Layout PS,1225
North CEN Crime PS,2240
NorthEast CEN Crime PS,1688
Parappana Agrahara PS,1381
Peenya PS,1730
Peenya Traffic PS,1074
Pulakeshinagar  PS,1005
Pulakeshinagar Traffic PS,353
Puttenahalli PS,860
R.M.C. Yard PS,713
R.T. Nagar PS,1040
R.T.Nagar Traffic PS,715
Rajagopal Nagar PS,1933
Rajajinagar PS,570
Rajajinagar Traffic PS,853
Rajarajeshwari Nagar PS,945
Ramamurthy Nagar PS,1765
S.J. Park PS,382
Sadashivanagar PS,573
Sadashivanagar Traffic PS,464
Sampangiramanagar PS,443
Sampigehalli PS,842
Sanjay Nagar PS,802
Seshadripuram PS,389
Shankarpura PS,142
Shivajinagar PS,447
Shivajinagar Traffic PS,369
Siddapura PS,724
Soladevanahalli PS,985
South CEN Crime PS,1946
SouthEast CEN Crime PS,1742
Srirampura PS,496
Subramanyanagar PS,730
Subramanyapura PS,1298
Suddaguntepalya PS,854
Thalaghattapura PS,1016
Thalaghattapura Traffic PS,116
Thilaknagar PS,882
Thyagarajanagar PS,59
Upparpet PS,737
Upparpet Traffic PS,564
V V Puram Traffic PS,605
Varthur PS,979
Victoria Hospital PS,11
Vidhana Soudha PS,229
Vidyaranyapura PS,929
Vijayanagar PS,1289
Vijayanagar Traffic PS,674
Vishveshwarapuram PS,474
Viveknagar PS,725
Vyalikaval PS,469
West CEN Crime PS,1777
Whitefield CEN Crime PS,1608
Whitefield PS,1357
Whitefield Traffic PS,795
Wilsongarden PS,616
Wilsongarden Traffic PS,563
Yelahanka New Town PS,964
Yelahanka PS,969
Yelahanka Traffic PS,1188
Yeshwanthapura PS,1199
Yeshwanthapura Traffic PS,818
