Grid_ID,UnitName,Year,Week,Crime_Count,Risk_Label
100_7761,Hulimavu Traffic PS,2017,37,1,Low
1033_7799,Basaveshwara Nagar PS,2023,35,1,Low
1074_7911,Jayanagar PS,2020,5,1,Low
1079_7878,Byadarahalli PS,2020,6,1,Low
1115_7907,Kempapura Agrahara PS,2023,3,1,Low
11295_7753,Chandra Layout PS,2018,50,1,Low
11299_7760,J.C. Nagar PS,2016,51,1,Low
1151_7735,Hulimavu PS,2016,33,1,Low
1159_7734,High Grounds PS,2023,43,1,Low
1194_7866,Cyber Crime Police Station,2017,12,1,Low
1194_7866,Cyber Crime Police Station,2017,13,6,High
1194_7866,Cyber Crime Police Station,2017,14,4,High
1194_7866,Cyber Crime Police Station,2017,15,4,High
1194_7866,Cyber Crime Police Station,2017,16,7,High
1194_7866,Cyber Crime Police Station,2017,17,8,High
1194_7866,Cyber Crime Police Station,2017,18,3,Medium
1194_7866,Cyber Crime Police Station,2017,19,9,High
1194_7866,Cyber Crime Police Station,2017,20,6,High
1194_7866,Cyber Crime Police Station,2017,22,2,Medium
1194_7866,Cyber Crime Police Station,2017,23,3,Medium
1194_7866,Cyber Crime Police Station,2017,24,1,Low
1194_7866,Cyber Crime Police Station,2017,25,5,High
1194_7866,Cyber Crime Police Station,2017,26,11,High
1194_7866,Cyber Crime Police Station,2017,27,19,High
1194_7866,Cyber Crime Police Station,2017,28,30,High
1194_7866,Cyber Crime Police Station,2017,29,27,High
1194_7866,Cyber Crime Police Station,2017,30,14,High
1194_7866,Cyber Crime Police Station,2017,31,26,High
1194_7866,Cyber Crime Police Station,2017,32,29,High
1194_7866,Cyber Crime Police Station,2017,33,30,High
1194_7866,Cyber Crime Police Station,2017,34,15,High
1194_7866,Cyber Crime Police Station,2017,35,21,High
1194_7866,Cyber Crime Police Station,2017,36,19,High
1194_7866,Cyber Crime Police Station,2017,37,35,High
1194_7866,Cyber Crime Police Station,2017,38,21,High
1194_7866,Cyber Crime Police Station,2017,39,15,High
1194_7866,Cyber Crime Police Station,2017,40,14,High
1194_7866,Cyber Crime Police Station,2017,41,23,High
1194_7866,Cyber Crime Police Station,2017,42,19,High
1194_7866,Cyber Crime Police Station,2017,43,12,High
1194_7866,Cyber Crime Police Station,2017,44,14,High
1194_7866,Cyber Crime Police Station,2017,45,31,High
1194_7866,Cyber Crime Police Station,2017,46,31,High
1194_7866,Cyber Crime Police Station,2017,47,31,High
1194_7866,Cyber Crime Police Station,2017,48,27,High
1194_7866,Cyber Crime Police Station,2017,49,19,High
1194_7866,Cyber Crime Police Station,2017,50,21,High
1194_7866,Cyber Crime Police Station,2017,51,17,High
1194_7866,Cyber Crime Police Station,2017,52,16,High
1194_7866,Cyber Crime Police Station,2018,1,21,High
1194_7866,Cyber Crime Police Station,2018,2,28,High
1194_7866,Cyber Crime Police Station,2018,3,15,High
1194_7866,Cyber Crime Police Station,2018,4,6,High
1194_7866,Cyber Crime Police Station,2018,5,16,High
1194_7866,Cyber Crime Police Station,2018,6,18,High
1194_7866,Cyber Crime Police Station,2018,7,27,High
1194_7866,Cyber Crime Police Station,2018,8,26,High
1194_7866,Cyber Crime Police Station,2018,9,14,High
1194_7866,Cyber Crime Police Station,2018,10,20,High
1194_7866,Cyber Crime Police Station,2018,11,16,High
1194_7866,Cyber Crime Police Station,2018,12,17,High
1194_7866,Cyber Crime Police Station,2018,13,21,High
1194_7866,Cyber Crime Police Station,2018,14,40,High
1194_7866,Cyber Crime Police Station,2018,15,23,High
1194_7866,Cyber Crime Police Station,2018,16,16,High
1194_7866,Cyber Crime Police Station,2018,17,21,High
1194_7866,Cyber Crime Police Station,2018,18,23,High
1194_7866,Cyber Crime Police Station,2018,19,24,High
1194_7866,Cyber Crime Police Station,2018,20,25,High
1194_7866,Cyber Crime Police Station,2018,21,24,High
1194_7866,Cyber Crime Police Station,2018,22,25,High
1194_7866,Cyber Crime Police Station,2018,23,35,High
1194_7866,Cyber Crime Police Station,2018,24,23,High
1194_7866,Cyber Crime Police Station,2018,25,20,High
1194_7866,Cyber Crime Police Station,2018,26,28,High
1194_7866,Cyber Crime Police Station,2018,27,41,High
1194_7866,Cyber Crime Police Station,2018,28,31,High
1194_7866,Cyber Crime Police Station,2018,29,36,High
1194_7866,Cyber Crime Police Station,2018,30,37,High
1194_7866,Cyber Crime Police Station,2018,31,41,High
1194_7866,Cyber Crime Police Station,2018,32,35,High
1194_7866,Cyber Crime Police Station,2018,33,16,High
1194_7866,Cyber Crime Police Station,2018,34,29,High
1194_7866,Cyber Crime Police Station,2018,35,25,High
1194_7866,Cyber Crime Police Station,2018,36,41,High
1194_7866,Cyber Crime Police Station,2018,37,24,High
1194_7866,Cyber Crime Police Station,2018,38,31,High
1194_7866,Cyber Crime Police Station,2018,39,45,High
1194_7866,Cyber Crime Police Station,2018,40,34,High
1194_7866,Cyber Crime Police Station,2018,41,23,High
1194_7866,Cyber Crime Police Station,2018,42,30,High
1194_7866,Cyber Crime Police Station,2018,43,39,High
1194_7866,Cyber Crime Police Station,2018,44,49,High
1194_7866,Cyber Crime Police Station,2018,45,37,High
1194_7866,Cyber Crime Police Station,2018,46,31,High
1194_7866,Cyber Crime Police Station,2018,47,42,High
1194_7866,Cyber Crime Police Station,2018,48,47,High
1194_7866,Cyber Crime Police Station,2018,49,37,High
1194_7866,Cyber Crime Police Station,2018,50,38,High
1194_7866,Cyber Crime Police Station,2018,51,41,High
1194_7866,Cyber Crime Police Station,2018,52,29,High
1194_7866,Cyber Crime Police Station,2019,1,39,High
1194_7866,Cyber Crime Police Station,2019,2,36,High
1194_7866,Cyber Crime Police Station,2019,3,34,High
1194_7866,Cyber Crime Police Station,2019,4,26,High
1194_7866,Cyber Crime Police Station,2019,5,36,High
1194_7866,Cyber Crime Police Station,2019,6,50,High
1194_7866,Cyber Crime Police Station,2019,7,55,High
1194_7866,Cyber Crime Police Station,2019,8,43,High
1194_7866,Cyber Crime Police Station,2019,9,45,High
1194_7866,Cyber Crime Police Station,2019,10,53,High
1194_7866,Cyber Crime Police Station,2019,11,49,High
1194_7866,Cyber Crime Police Station,2019,12,38,High
1194_7866,Cyber Crime Police Station,2019,13,45,High
1194_7866,Cyber Crime Police Station,2019,14,50,High
1194_7866,Cyber Crime Police Station,2019,15,46,High
1194_7866,Cyber Crime Police Station,2019,16,57,High
1194_7866,Cyber Crime Police Station,2019,17,56,High
1194_7866,Cyber Crime Police Station,2019,18,64,High
1194_7866,Cyber Crime Police Station,2019,19,59,High
1194_7866,Cyber Crime Police Station,2019,20,64,High
1194_7866,Cyber Crime Police Station,2019,21,52,High
1194_7866,Cyber Crime Police Station,2019,22,59,High
1194_7866,Cyber Crime Police Station,2019,23,63,High
1194_7866,Cyber Crime Police Station,2019,24,54,High
1194_7866,Cyber Crime Police Station,2019,25,60,High
1194_7866,Cyber Crime Police Station,2019,26,71,High
1194_7866,Cyber Crime Police Station,2019,27,74,High
1194_7866,Cyber Crime Police Station,2019,28,80,High
1194_7866,Cyber Crime Police Station,2019,29,58,High
1194_7866,Cyber Crime Police Station,2019,30,62,High
1194_7866,Cyber Crime Police Station,2019,31,70,High
1194_7866,Cyber Crime Police Station,2019,32,79,High
1194_7866,Cyber Crime Police Station,2019,33,65,High
1194_7866,Cyber Crime Police Station,2019,34,62,High
1194_7866,Cyber Crime Police Station,2019,35,65,High
1194_7866,Cyber Crime Police Station,2019,36,68,High
1194_7866,Cyber Crime Police Station,2019,37,60,High
1194_7866,Cyber Crime Police Station,2019,38,76,High
1194_7866,Cyber Crime Police Station,2019,39,57,High
1194_7866,Cyber Crime Police Station,2019,40,57,High
1194_7866,Cyber Crime Police Station,2019,41,48,High
1194_7866,Cyber Crime Police Station,2019,42,65,High
1194_7866,Cyber Crime Police Station,2019,43,79,High
1194_7866,Cyber Crime Police Station,2019,44,49,High
1194_7866,Cyber Crime Police Station,2019,45,60,High
1194_7866,Cyber Crime Police Station,2019,46,41,High
1194_7866,Cyber Crime Police Station,2019,47,15,High
1194_7866,Cyber Crime Police Station,2019,48,1,Low
1194_7866,Cyber Crime Police Station,2019,50,24,High
1194_7866,Cyber Crime Police Station,2019,51,32,High
1194_7866,Cyber Crime Police Station,2019,52,3,Medium
1194_7866,Cyber Crime Police Station,2020,2,1,Low
1194_7866,Cyber Crime Police Station,2020,16,1,Low
1194_7866,Cyber Crime Police Station,2020,19,1,Low
1194_7866,Cyber Crime Police Station,2020,30,1,Low
1194_7866,Cyber Crime Police Station,2020,33,1,Low
1194_7866,Cyber Crime Police Station,2020,52,1,Low
1194_7866,Cyber Crime Police Station,2021,26,1,Low
1194_7866,Cyber Crime Police Station,2021,28,1,Low
1194_7866,Cyber Crime Police Station,2021,32,1,Low
1194_7866,Cyber Crime Police Station,2021,33,1,Low
1194_7866,Cyber Crime Police Station,2021,37,1,Low
1194_7866,Cyber Crime Police Station,2022,3,1,Low
1194_7866,Cyber Crime Police Station,2022,5,1,Low
1194_7866,Cyber Crime Police Station,2022,7,1,Low
1194_7866,Cyber Crime Police Station,2022,9,3,Medium
1194_7866,Cyber Crime Police Station,2022,12,1,Low
1194_7866,Cyber Crime Police Station,2022,15,1,Low
1194_7866,Cyber Crime Police Station,2022,17,1,Low
1194_7866,Cyber Crime Police Station,2022,18,1,Low
1194_7866,Cyber Crime Police Station,2022,21,1,Low
1194_7866,Cyber Crime Police Station,2022,22,1,Low
1194_7866,Cyber Crime Police Station,2022,28,1,Low
1194_7866,Cyber Crime Police Station,2022,34,1,Low
1194_7866,Cyber Crime Police Station,2022,39,1,Low
1194_7866,Cyber Crime Police Station,2022,42,2,Medium
1194_7866,Cyber Crime Police Station,2022,46,1,Low
1194_7866,Cyber Crime Police Station,2023,5,1,Low
1194_7866,Cyber Crime Police Station,2023,16,1,Low
1194_7866,Cyber Crime Police Station,2023,17,1,Low
1194_7866,Cyber Crime Police Station,2023,21,1,Low
1194_7866,Cyber Crime Police Station,2023,27,1,Low
1194_7866,Cyber Crime Police Station,2023,32,1,Low
1194_7866,Cyber Crime Police Station,2023,34,1,Low
1194_7866,Cyber Crime Police Station,2023,35,1,Low
1194_7866,Cyber Crime Police Station,2023,37,1,Low
1194_7866,Cyber Crime Police Station,2023,38,1,Low
1200_7700,Banashankari Traffic PS,2022,39,1,Low
1200_7700,Beguru PS,2023,29,1,Low
1200_7700,Beguru PS,2023,30,1,Low
1200_7700,Beguru PS,2023,33,1,Low
1200_7700,Beguru PS,2023,34,1,Low
1200_7700,Beguru PS,2023,36,1,Low
1200_7700,Beguru PS,2023,44,1,Low
1200_7700,Beguru PS,2023,47,1,Low
1200_7700,Malleshwaram PS,2017,18,1,Low
1200_7700,Malleshwaram PS,2023,17,1,Low
1200_7725,Malleshwaram PS,2016,29,1,Low
1200_7725,Malleshwaram PS,2016,32,1,Low
1200_7725,Malleshwaram PS,2016,44,1,Low
1200_7755,Jagajeevanram Nagar PS,2023,34,1,Low
1201_7712,Subramanyapura PS,2023,52,1,Low
1201_7725,Malleshwaram PS,2016,32,1,Low
1201_7734,Malleshwaram PS,2016,33,1,Low
1201_7746,High Grounds PS,2023,44,1,Low
1201_7759,Hulimavu PS,2023,49,1,Low
1202_7723,Byatarayanapura  PS,2023,46,1,Low
1202_7723,Rajajinagar Traffic PS,2023,41,1,Low
1202_7725,Malleshwaram PS,2018,37,1,Low
1202_7725,Malleshwaram PS,2018,41,1,Low
1202_7725,Malleshwaram PS,2018,45,1,Low
1202_7725,Rajajinagar Traffic PS,2023,44,1,Low
1202_7734,Malleshwaram PS,2016,27,1,Low
1202_7734,Malleshwaram PS,2018,32,1,Low
1202_7751,Malleshwaram PS,2016,40,1,Low
1202_7772,Kalasipalya PS,2021,26,1,Low
1203_7702,Hulimavu PS,2023,35,1,Low
1203_7756,Siddapura PS,2018,17,1,Low
1203_7762,Marathahalli PS,2023,43,1,Low
1204_7761,Byatarayanapura  PS,2022,21,1,Low
1205_7703,Subramanyapura PS,2023,52,1,Low
1205_7725,Kamakshipalya Traffic PS,2023,40,1,Low
1205_7725,Kamakshipalya Traffic PS,2023,41,1,Low
1206_7713,High Grounds PS,2023,46,1,Low
1206_7757,Kumaraswamy Layout PS,2019,7,1,Low
1208_7754,Subramanyapura PS,2020,35,1,Low
1208_7760,Madivala PS,2023,52,1,Low
1209_6817,Cubbon Park PS,2023,50,1,Low
1209_7703,Cubbon Park PS,2023,50,1,Low
1209_7705,Banashankari Traffic PS,2023,47,1,Low
1209_7705,Ramamurthy Nagar PS,2023,52,1,Low
1209_7705,Subramanyapura PS,2023,36,1,Low
1209_7706,Ashoknagar PS,2023,49,1,Low
1209_7736,Mico Layout PS,2023,31,1,Low
1209_7750,Mico Layout PS,2023,34,1,Low
1209_7753,Subramanyapura PS,2022,40,1,Low
1209_7754,Subramanyapura PS,2023,46,1,Low
1209_7754,Subramanyapura PS,2023,47,1,Low
1209_7755,Subramanyapura PS,2023,32,1,Low
1209_7755,Subramanyapura PS,2023,44,1,Low
1209_7756,Basaveshwara Nagar PS,2016,29,1,Low
1209_7756,Basaveshwara Nagar PS,2016,41,1,Low
1209_7756,Basaveshwara Nagar PS,2016,42,1,Low
1209_7756,Basaveshwara Nagar PS,2016,48,1,Low
1209_7756,Basaveshwara Nagar PS,2016,51,1,Low
1209_7756,Basaveshwara Nagar PS,2017,16,1,Low
1209_7756,Basaveshwara Nagar PS,2017,17,1,Low
