UnitName,Unit_ID,Average_Latitude,Average_Longitude,Total_FIRs
Adugodi PS,1382,13.895858898158378,76.76617704327808,761
Adugodi Traffic PS,1762,12.451705231578947,76.23688678596491,433
Airport PS,1415,12.58429113551111,76.53418854395062,93
Airport Traffic PS,1770,12.719429717948717,77.51916443589744,463
Amruthahally PS,1818,13.61746561737705,76.98830581272728,748
Annapoorneshwari Nagar PS,2188,13.124343569505063,77.34541074352693,922
Ashoknagar PS,1389,51.07837224180869,39.44434584382175,1266
Ashoknagar Traffic PS,1761,12.9320862,77.6088679,450
BIAL PS,1820,13.198636512499998,77.68444507625,313
Bagalagunte PS,2195,14.87048635257241,74.51780490665014,1224
Bagalur PS,1822,13.129502899122807,77.66080891798246,689
Banasawadi Traffic PS,1776,14.467430875555555,76.16881979555555,584
Banashankari PS,1375,13.545456527813954,76.36350579832559,920
Banashankari Traffic PS,1783,12.914766697677726,77.5502626928436,698
Banaswadi PS,1406,22.315875800338983,68.45061955809322,2002
Bandepalya PS,2193,13.04878089888889,77.73708003111112,623
Basavanagudi PS,1376,23.56802165999189,66.84324818747328,719
Basavanagudi Traffic PS,1784,13.32896409759036,77.17686647957831,626
Basavanagudi Women PS,1377,12.836008250263157,77.56916684473684,500
Basaveshwara Nagar PS,1426,15.065024760872086,75.33009528865588,1024
Beguru PS,2194,12.785285382113821,77.50552145121951,719
Bellanduru PS,2198,12.912797566326532,77.67402956556123,994
Bellanduru Traffic PS,2319,12.915984645,77.673991305,61
Bharathi Nagar PS,1401,12.993847723404254,77.60725032978723,574
Bommanahalli PS,2141,12.89863180952381,77.62689690285714,1117
Bowring Hospital PS,1404,,,1
Byadarahalli PS,2123,13.17274656086331,77.17875329007195,1790
Byappanahalli PS,1411,67.24531658645974,23.505581014463086,709
Byatarayanapura  PS,1418,21.133285330327478,69.31534397642439,1263
Byatrarayanapura Traffic PS,1787,12.945563109906976,77.53268112522163,993
Central CEN Crime PS,2146,13.52297218556701,77.31012396907217,1078
Chamarajpet PS,1364,13.945307402628142,76.29315343199691,644
Chandra Layout PS,1420,13.57238539016071,76.94339646753858,1247
Channammanakere Achu Kattu PS,1797,13.351979915026545,77.09123060768161,956
Chickpet PS,1429,12.947554322786495,77.5635778587974,34
Chickpet Traffic PS,1788,12.963898710526315,77.56603405263158,503
Chikkajala PS,268,13.165574079207921,77.62753763168317,468
Chikkajala Traffic PS,1898,13.119635658536586,77.50847243658536,849
City Market PS,1432,13.684633575896816,76.85430773286228,683
City Market Traffic PS,1789,12.954027726470589,77.58672564117647,728
Commercial Street PS,1400,33.9864588759364,56.367458633604244,509
Cottonpet PS,1417,26.20249513101775,64.11694694914867,818
Cubbon Park PS,1398,43.30651530979393,47.568966466239274,598
Cubbonpark Traffic PS,1766,12.977793136363637,77.59880568181819,380
Cyber Crime Police Station,2200,11.948545833333334,78.66255666666667,6109
Devanahalli PS,266,24.773083294039516,66.14752492351484,434
Devanahalli Traffic PS,1899,13.244157895538462,77.52017572186593,993
Devarajeevanahalli PS,1402,13.018244020220177,77.519834984847,1118
East CEN Crime PS,2147,12.098880000000001,77.60359,1187
East Zone Women PS,1387,29.081876267857144,61.17719690053571,423
Electronic City PS,1799,13.346171725333333,77.009872752,1067
Electronic City Traffic PS,1896,12.790064476902655,77.12686621365044,622
Gangammana Gudi PS,1348,63.24741266869366,27.972543726456212,402
Girinagar PS,1368,12.919753535540838,77.37940930618102,965
Govindapura PS,2268,13.031637016129032,77.44681785483871,284
Govindaraja Nagar PS,2303,12.975240132113822,77.2639818601626,265
H.A.L. PS,1416,13.01764021039604,77.49929771209877,1569
HSR Lay Out Traffic PS,2132,12.916611529120878,77.65586449175824,355
HSR Layout PS,1796,12.867438478571428,77.80768388877551,1312
Halasur Gate Traffic PS,1769,12.96762231346154,76.94559905728156,353
Halasur PS,1410,16.17778600458946,74.376328839266,1072
Halasur Traffic PS,1775,14.119005602031242,76.43431172139216,332
Halasurgate PS,1386,14.363064320391658,76.17236943916012,817
Hanumanthanagar PS,1366,12.983414083138076,77.55565990251046,948
Hebbal PS,1354,19.56289559236026,71.14314045827801,698
Hebbal Traffic PS,1777,13.063661707317074,77.59079214146341,878
Hennur PS,1408,13.974127263563455,76.80621460078441,1134
Hennur Traffic PS,2320,13.061994666666667,77.64226557142858,73
High Grounds PS,1394,12.959894985292792,77.33281950565316,524
High Grounds Traffic PS,1767,12.9886372425,77.58087864000001,391
Hulimavu PS,1798,12.53649256,75.86658293716981,1100
Hulimavu Traffic PS,2001,12.445002285714285,77.61166781481481,409
Indiranagar PS,1412,14.040648323728814,76.53181881661017,895
J.C. Nagar PS,1351,15.602256249652365,75.26310588008867,524
Jagajeevanram Nagar PS,1421,12.844693273317308,76.73121781646475,741
Jalahalli PS,14,13.43520443109305,76.97953422701835,381
Jalahalli Traffic PS,2005,13.07211325284,77.26836658664,469
Jayanagar PS,1372,13.250994720124691,77.10434792493474,973
Jayanagar Traffic PS,1786,12.896379855263158,77.53511637631578,720
Jayaprakash Nagar PS,1373,12.917575303030304,77.33653818181818,992
Jeevan Bheemanagar PS,1413,13.486657509897617,77.30734170080399,1168
Jeevan Bhima Nagar (Indiranagar) Traffic  PS,1773,12.913787419354838,77.65663503225807,471
Jnanabharathi PS,1422,15.094558007091683,75.24004817807024,978
K G Halli Traffic PS,2201,13.027018421875,76.65174609375,196
K.R. Puram PS,1405,16.395236874545205,74.03662285498675,1898
K.R.Puram Traffic PS,1774,13.906563123703704,76.78608780768518,948
Kadugodi PS,257,13.270476352015503,77.49259354992247,1034
Kadugondana Halli PS,1407,13.044483614823527,77.6171737182058,1581
Kalasipalya PS,1431,17.754334397885568,72.76076202226837,696
Kamakshipalya PS,1428,14.889984871973978,75.71669043122029,1486
Kamakshipalya Traffic PS,1793,12.482305890405405,76.38393542424657,994
Kempapura Agrahara PS,1427,16.87315521550505,73.6457994137542,646
Kempegowda Nagar PS,1367,13.317685688479532,76.82904866818714,469
Kengeri PS,1423,15.261476629126514,76.14138326310628,1268
Kengeri Traffic PS,2006,12.829251213829787,76.84719440106383,531
Kodigehalli PS,1873,13.057144468354432,77.58238836455696,780
Konanakunte PS,2202,13.75161388434113,76.36284274257079,1042
Koramangala PS,1383,12.808534801020407,77.4294203755102,1200
Kothanur PS,1875,13.076541909150327,77.64632054379085,659
Kumaraswamy Layout PS,1378,28.44003464912999,62.007680962877124,1188
Kumaraswamy Layout Traffic PS,1795,46.24468521527587,43.81371880287012,1006
Madivala PS,1380,12.989023159064327,77.60061604678363,1447
Madivala Traffic PS,1763,12.896683732673267,77.61524012871287,424
Magadi Road PS,1425,13.457106228997329,76.22236132867083,807
Magadi Road Traffic PS,1790,13.446242630687022,76.52295357141222,341
Mahadevapura PS,1414,12.978672961410789,77.67696395809129,1657
Mahadevapura Traffic PS,2318,12.991828555555555,77.70080827777777,87
Mahalakshmipuram PS,1359,41.38898962126657,49.24363811838435,918
Malleshwaram PS,1357,16.318130627692526,73.42831814282005,588
Malleshwaram Traffic PS,1778,13.094990511111112,76.34186304,820
Marathahalli PS,2199,12.83190915338983,77.63754405491525,1251
Mico Layout PS,1381,13.983514041762271,76.5329291720976,1398
Mico Layout Traffic PS,1764,12.91937820909091,77.60041580181819,390
Nandini Layout PS,1363,15.761681953898318,74.84318948934646,1225
North CEN Crime PS,2149,13.766377331606217,77.55937852331606,2240
NorthEast CEN Crime PS,2260,13.67187174301676,77.97963279888268,1688
Parappana Agrahara PS,1800,12.865414226244344,77.65741855203619,1381
Peenya PS,1350,18.16866164536428,72.57300581574792,1730
Peenya Traffic PS,1779,13.768112014624831,76.70157265387449,1074
