UnitName,Unit_ID,Average_Latitude,Average_Longitude,Total_FIRs
Adugodi PS,1382,12.942,77.6102,761
Adugodi Traffic PS,1762,12.942,77.6102,433
Airport PS,1415,13.1989,77.7068,93
Airport Traffic PS,1770,13.1989,77.7068,463
Amruthahally PS,1818,13.0569,77.5985,748
Annapoorneshwari Nagar PS,2188,12.9774,77.5028,922
Ashoknagar PS,1389,12.9712,77.6056,1266
Ashoknagar Traffic PS,1761,12.9712,77.6056,450
BIAL PS,1820,13.1989,77.7068,313
Bagalagunte PS,2195,13.0456,77.5132,1224
Bagalur PS,1822,13.1398,77.6668,689
Banasawadi Traffic PS,1776,13.0148,77.6518,584
Banashankari PS,1375,12.9248,77.5568,920
Banashankari Traffic PS,1783,12.9248,77.5568,698
Banaswadi PS,1406,13.0148,77.6518,2002
Bandepalya PS,2193,12.8788,77.6238,623
Basavanagudi PS,1376,12.9428,77.5738,719
Basavanagudi Traffic PS,1784,12.9428,77.5738,626
Basavanagudi Women PS,1377,12.9428,77.5738,500
Basaveshwara Nagar PS,1426,12.9998,77.5388,1024
Beguru PS,2194,12.8858,77.6328,719
Bellanduru PS,2198,12.9251,77.6657,994
Bellanduru Traffic PS,2319,12.9298,77.6768,61
Bharathi Nagar PS,1401,12.9838,77.6138,574
Bommanahalli PS,2141,12.9008,77.6248,1117
Bowring Hospital PS,1404,12.9828,77.6038,1
Byadarahalli PS,2123,12.9935,77.5029,1790
Byappanahalli PS,1411,12.9917,77.6572,709
Byatarayanapura  PS,1418,12.9431,77.5407,1263
Byatrarayanapura Traffic PS,1787,13.0728,77.5678,993
Central CEN Crime PS,2146,12.9749,77.6083,1078
Chamarajpet PS,1364,12.9578,77.5658,644
Chandra Layout PS,1420,12.9598,77.5238,1247
Channammanakere Achu Kattu PS,1797,12.9301,77.5606,956
Chickpet PS,1429,12.9658,77.5738,34
Chickpet Traffic PS,1788,12.9658,77.5738,503
Chikkajala PS,268,13.1808,77.6858,468
Chikkajala Traffic PS,1898,13.1808,77.6858,849
City Market PS,1432,12.9628,77.5738,683
City Market Traffic PS,1789,12.9628,77.5738,728
Commercial Street PS,1400,12.9828,77.6088,509
Cottonpet PS,1417,12.9678,77.5688,818
Cubbon Park PS,1398,12.9765,77.5993,598
Cubbonpark Traffic PS,1766,12.9765,77.5993,380
Cyber Crime Police Station,2200,12.9716,77.5946,6109
Devanahalli PS,266,13.2428,77.7138,434
Devanahalli Traffic PS,1899,13.2428,77.7138,993
Devarajeevanahalli PS,1402,13.0248,77.6138,1118
East CEN Crime PS,2147,12.9716,77.5946,1187
East Zone Women PS,1387,12.9716,77.5946,423
Electronic City PS,1799,12.8452,77.66,1067
Electronic City Traffic PS,1896,12.8452,77.66,622
Gangammana Gudi PS,1348,13.0398,77.5488,402
Girinagar PS,1368,12.9318,77.5438,965
Govindapura PS,2268,13.0388,77.6218,284
Govindaraja Nagar PS,2303,12.9838,77.5318,265
H.A.L. PS,1416,12.9588,77.6668,1569
HSR Lay Out Traffic PS,2132,12.9116,77.6478,355
HSR Layout PS,1796,12.9116,77.6478,1312
Halasur Gate Traffic PS,1769,12.9628,77.5808,353
Halasur PS,1410,12.9828,77.6248,1072
